t=0.0, v=1.5e-05, theta=1.5700454002257278, v_L=1.4901952210456036e-05, v_R=1.5098047789543961e-05
t=0.3955635635635636, v=1.1526184534534536, theta=1.4881076097404273, v_L=1.2051615271532174, v_R=1.1000753797536895
t=0.40302702702702703, v=1.1900104054054053, theta=1.4864468301219893, v_L=1.244485635345943, v_R=1.1355351754648675
t=0.4104904904904905, v=1.2274023573573574, theta=1.484782433432121, v_L=1.2838257478871444, v_R=1.1709789668275705
t=0.41795395395395396, v=1.2647943093093095, theta=1.4831143972595948, v_L=1.3231820276402257, v_R=1.2064065909783928
t=0.42541741741741745, v=1.3021862612612614, theta=1.481442699225069, v_L=1.3625546383139255, v_R=1.2418178842085972
t=0.4328808808808809, v=1.339578213213213, theta=1.4797673169827328, v_L=1.4019437444555147, v_R=1.277212681970911
t=0.4403443443443444, v=1.3769701651651656, theta=1.4780882282219738, v_L=1.4413495114432897, v_R=1.3125908188870412
t=0.4478078078078078, v=1.414362117117117, theta=1.476405410669135, v_L=1.4807721054763914, v_R=1.3479521287578424
t=0.4552712712712713, v=1.4517540690690693, theta=1.4747188420892412, v_L=1.5202116935682455, v_R=1.383296444569893
t=0.46273473473473475, v=1.489146021021021, theta=1.4730285002877925, v_L=1.559668443536234, v_R=1.4186235985058078
t=0.47019819819819825, v=1.5265379729729731, theta=1.4713343631126057, v_L=1.5991425239914734, v_R=1.4539334219544724
t=0.4776616616616617, v=1.5639299249249248, theta=1.4696364084556637, v_L=1.6386341043295924, v_R=1.4892257455202573
t=0.4851251251251251, v=1.6013218768768767, theta=1.467934614255012, v_L=1.6781433547197373, v_R=1.524500399034016
t=0.4925885885885886, v=1.6387138288288288, theta=1.4662289584967085, v_L=1.7176704460925118, v_R=1.5597572115651461
t=0.500052052052052, v=1.6760892192192192, theta=1.4645194192167883, v_L=1.757198187123908, v_R=1.5949802513145304
t=0.5075155155155155, v=1.7128881381381382, theta=1.462805974503275, v_L=1.7961396165368066, v_R=1.6296366597394696
t=0.514978978978979, v=1.7488547297297299, theta=1.4610886024982372, v_L=1.8342261940110562, v_R=1.663483265448403
t=0.5224424424424424, v=1.783982357357357, theta=1.4593672813998668, v_L=1.8714505940923205, v_R=1.6965141206223937
t=0.5299059059059059, v=1.8182773423423422, theta=1.4576419894646109, v_L=1.9078190749972017, v_R=1.728735609687483
t=0.5373693693693694, v=1.8517344594594594, theta=1.4559127050093534, v_L=1.9433257759638745, v_R=1.7601431429550445
t=0.5448328328328329, v=1.8843578378378376, theta=1.4541794064136067, v_L=1.9779746439497856, v_R=1.7907410317258894
t=0.5522962962962963, v=1.916144444444444, theta=1.4524420721217508, v_L=2.011762103080021, v_R=1.8205267858088672
t=0.5597597597597598, v=1.947096216216216, theta=1.4507006806453544, v_L=2.0446897869417247, v_R=1.8495026454907066
t=0.5672232232232233, v=1.9772123123123122, theta=1.4489552105654757, v_L=2.076756406214043, v_R=1.8776682184105808
t=0.5746866866866868, v=2.0064924774774773, theta=1.4472056405350393, v_L=2.1079612789691886, v_R=1.905023675985766
t=0.5821501501501501, v=2.0349380630630627, theta=1.4454519492812863, v_L=2.138305404148202, v_R=1.9315707219779235
t=0.5896136136136136, v=2.0625466216216215, theta=1.4436941156081535, v_L=2.1677857821253776, v_R=1.9573074611178658
t=0.5970770770770771, v=2.0893216966966968, theta=1.4419321183988554, v_L=2.1964057018578433, v_R=1.9822376915355495
t=0.6045405405405405, v=2.1152586486486484, theta=1.440165936618386, v_L=2.2241598437963943, v_R=2.0063574535009026
t=0.612004004004004, v=2.1403632132132127, theta=1.4383955493161154, v_L=2.2510537887116584, v_R=2.029672637714767
t=0.6194674674674675, v=2.164628558558558, theta=1.4366209356284043, v_L=2.2770798948763766, v_R=2.052177222240739
t=0.626930930930931, v=2.1880615765765765, theta=1.4348420747812989, v_L=2.302244946610853, v_R=2.0738782065423
t=0.6343943943943944, v=2.2106563513513504, theta=1.4330589460932643, v_L=2.326542248017699, v_R=2.094770454685002
t=0.6418578578578579, v=2.232417762762762, theta=1.4312715289778977, v_L=2.3499764543428054, v_R=2.1148590711827193
t=0.6493213213213214, v=2.2533420270270264, theta=1.4294798029468325, v_L=2.372543095911661, v_R=2.1341409581423916
t=0.6567847847847849, v=2.2734318318318314, theta=1.4276837476124808, v_L=2.3942445071419094, v_R=2.1526191565217534
t=0.6642482482482482, v=2.292685585585585, theta=1.4258833426910456, v_L=2.415078509611799, v_R=2.170292661559371
t=0.6717117117117117, v=2.3111037837837833, theta=1.4240785680053956, v_L=2.435045114617916, v_R=2.1871624529496505
t=0.6791751751751752, v=2.328687027027027, theta=1.4222694034881196, v_L=2.4541444368999468, v_R=2.2032296171541073
t=0.6866386386386387, v=2.3454336186186184, theta=1.4204558291845493, v_L=2.472374162309583, v_R=2.218493074927654
t=0.6941021021021021, v=2.361346351351351, theta=1.418637825255852, v_L=2.4897367007039866, v_R=2.2329560019987156
t=0.7015655655655656, v=2.376421336336336, theta=1.4168153719821772, v_L=2.506227410134672, v_R=2.246615262537999
t=0.7090290290290291, v=2.3906635585585585, theta=1.4149884497658731, v_L=2.5218509975773564, v_R=2.259476119539761
t=0.7164924924924925, v=2.4040669369369363, theta=1.4131570391347106, v_L=2.536600490892102, v_R=2.271533382981771
t=0.723955955955956, v=2.4166379879879876, theta=1.411321120745152, v_L=2.5504821989818165, v_R=2.282793776994158
t=0.7314194194194195, v=2.42837042042042, theta=1.4094806753857732, v_L=2.563488908841194, v_R=2.2932519319996456
