t=0.0, v=1.5e-05, theta=1.5700454002257278, v_L=1.4901952210456036e-05, v_R=1.5098047789543961e-05
t=1.7240600600600602, v=2.5049999999999994, theta=1.1201664704633674, v_L=2.7593056909020515, v_R=2.2506943090979474
t=1.7315235235235236, v=2.5049999999999994, theta=1.1176672317004073, v_L=2.760237606879534, v_R=2.2497623931204656
t=1.7389869869869872, v=2.5049999999999994, theta=1.11516422965526, v_L=2.7611661518258868, v_R=2.2488338481741117
t=1.7464504504504506, v=2.5049999999999994, theta=1.1126575147126394, v_L=2.7620911734529296, v_R=2.2479088265470692
t=1.753913913913914, v=2.5049999999999994, theta=1.1101471382093762, v_L=2.7630125177935634, v_R=2.2469874822064355
t=1.7613773773773775, v=2.5049999999999994, theta=1.1076331524376923, v_L=2.7639300294124105, v_R=2.2460699705875884
t=1.768840840840841, v=2.5049999999999994, theta=1.105115610650525, v_L=2.7648435511987066, v_R=2.2451564488012923
t=1.7763043043043043, v=2.5049999999999994, theta=1.1025945670648125, v_L=2.7657529245768213, v_R=2.244247075423177
t=1.783767767767768, v=2.5049999999999994, theta=1.100070076865785, v_L=2.7666579894060748, v_R=2.2433420105939237
t=1.7912312312312313, v=2.5049999999999994, theta=1.0975421962109373, v_L=2.7675585840164985, v_R=2.242441415983501
t=1.7986946946946947, v=2.5049999999999994, theta=1.0950109822327931, v_L=2.768454545337376, v_R=2.241545454662623
t=1.8061581581581583, v=2.5049999999999994, theta=1.092476493043403, v_L=2.7693457087228874, v_R=2.2406542912771115
t=1.8136216216216217, v=2.5049999999999994, theta=1.089938787737023, v_L=2.7702319081441167, v_R=2.239768091855882
t=1.8210850850850853, v=2.5049999999999994, theta=1.0873979263932303, v_L=2.77111297615032, v_R=2.2388870238496783
t=1.8285485485485486, v=2.5049999999999994, theta=1.0848539700801594, v_L=2.771988743861472, v_R=2.238011256138527
t=1.836012012012012, v=2.5049999999999994, theta=1.0823069808570482, v_L=2.7728590410470444, v_R=2.2371409589529545
t=1.8434754754754756, v=2.5049999999999994, theta=1.0797570217768275, v_L=2.773723696128387, v_R=2.2362763038716116
t=1.850938938938939, v=2.5049999999999994, theta=1.0772041568886452, v_L=2.7745825361930136, v_R=2.2354174638069857
t=1.8584024024024024, v=2.5049999999999994, theta=1.074648451239838, v_L=2.7754353870608877, v_R=2.2345646129391104
t=1.865865865865866, v=2.5049999999999994, theta=1.0720899708786875, v_L=2.7762820732106106, v_R=2.2337179267893883
t=1.8733293293293294, v=2.5049999999999994, theta=1.0695287828550428, v_L=2.777122418012546, v_R=2.2328775819874527
t=1.880792792792793, v=2.5049999999999994, theta=1.066964955223129, v_L=2.7779562435098564, v_R=2.2320437564901416
t=1.8882562562562564, v=2.5049999999999994, theta=1.064398557042335, v_L=2.778783370640603, v_R=2.2312166293593956
t=1.8957197197197198, v=2.5049999999999994, theta=1.0618296583786233, v_L=2.7796036191838356, v_R=2.2303963808161633
t=1.9031831831831834, v=2.5049999999999994, theta=1.0592583303059548, v_L=2.7804168077695537, v_R=2.229583192230445
t=1.9106466466466467, v=2.5049999999999994, theta=1.0566846449062417, v_L=2.781222754046648, v_R=2.2287772459533506
t=1.9181101101101101, v=2.5049999999999994, theta=1.0541086752708366, v_L=2.782021274533294, v_R=2.2279787254667047
t=1.9255735735735737, v=2.5049999999999994, theta=1.0515304955007516, v_L=2.782812184764362, v_R=2.2271878152356366
t=1.933037037037037, v=2.5049999999999994, theta=1.0489501807063872, v_L=2.783595299358536, v_R=2.226404700641463
t=1.9405005005005005, v=2.5049999999999994, theta=1.0463678070084081, v_L=2.78437043191007, v_R=2.225629568089929
t=1.947963963963964, v=2.5049999999999994, theta=1.0437834515363387, v_L=2.7851373952476663, v_R=2.2248626047523326
t=1.9554274274274275, v=2.5049999999999994, theta=1.0411971924293038, v_L=2.785896001221054, v_R=2.2241039987789457
t=1.962890890890891, v=2.5049999999999994, theta=1.0386091088345974, v_L=2.7866460609492707, v_R=2.2233539390507286
t=1.9703543543543545, v=2.5049999999999994, theta=1.0360192809068753, v_L=2.787387384771717, v_R=2.222612615228283
t=1.9778178178178178, v=2.5049999999999994, theta=1.0334277898075237, v_L=2.788119782245796, v_R=2.221880217754202
t=1.9852812812812815, v=2.5049999999999994, theta=1.0308347177024546, v_L=2.7888430623351006, v_R=2.221156937664898
t=1.9927447447447448, v=2.5049999999999994, theta=1.0282401477611465, v_L=2.789557033293763, v_R=2.2204429667062353
t=2.000208208208208, v=2.5049999999999994, theta=1.0256441641547984, v_L=2.7902615027807807, v_R=2.219738497219218
t=2.007671671671672, v=2.5049999999999994, theta=1.023046852053816, v_L=2.790956277953018, v_R=2.2190437220469814
t=2.0151351351351354, v=2.5049999999999994, theta=1.0204482976261275, v_L=2.7916411653951823, v_R=2.218358834604817
t=2.0225985985985986, v=2.5049999999999994, theta=1.0178485880338888, v_L=2.7923159713158774, v_R=2.217684028684121
t=2.030062062062062, v=2.5049999999999994, theta=1.0152478114313728, v_L=2.7929805014401823, v_R=2.217019498559816
t=2.037525525525526, v=2.5049999999999994, theta=1.0126460569617868, v_L=2.7936345611481297, v_R=2.2163654388518683
t=2.044988988988989, v=2.5049999999999994, theta=1.0100434147534367, v_L=2.7942779555696413, v_R=2.2157220444303576
t=2.0524524524524526, v=2.5049999999999994, theta=1.0074399759172115, v_L=2.7949104894621, v_R=2.2150895105378985
t=2.059915915915916, v=2.5049999999999994, theta=1.0048358325419642, v_L=2.795531967464627, v_R=2.214468032535373
t=2.0673793793793793, v=2.5049999999999994, theta=1.0022310776905057, v_L=2.7961421940565345, v_R=2.213857805943464
t=2.074842842842843, v=2.5049999999999994, theta=0.9996258053965866, v_L=2.7967409734696624, v_R=2.213259026530337
t=2.0823063063063065, v=2.5049999999999994, theta=0.9970201106581332, v_L=2.797328110131096, v_R=2.2126718898689033
t=2.0897697697697697, v=2.5049999999999994, theta=0.994414089435205, v_L=2.797903408162643, v_R=2.2120965918373563
t=2.0972332332332333, v=2.5049999999999994, theta=0.9918078386422972, v_L=2.798466672036213, v_R=2.211533327963785
t=2.104696696696697, v=2.5049999999999994, theta=0.989201456145176, v_L=2.7990177060958343, v_R=2.2109822939041646
t=2.11216016016016, v=2.5049999999999994, theta=0.9865950407545545, v_L=2.799556314935415, v_R=2.2104436850645843
t=2.1196236236236237, v=2.5049999999999994, theta=0.9839886922197556, v_L=2.8000823034292615, v_R=2.209917696570738
t=2.1270870870870873, v=2.5049999999999994, theta=0.9813825112240043, v_L=2.8005954765760963, v_R=2.2094045234239026
t=2.134550550550551, v=2.5049999999999994, theta=0.9787765993769701, v_L=2.8010956398355864, v_R=2.2089043601644125
t=2.142014014014014, v=2.5049999999999994, theta=0.9761710592089944, v_L=2.801582598968421, v_R=2.208417401031578
t=2.1494774774774776, v=2.5049999999999994, theta=0.97356599416413, v_L=2.802056160197525, v_R=2.207943839802474
t=2.1569409409409412, v=2.5049999999999994, theta=0.970961508592694, v_L=2.8025161302932715, v_R=2.2074838697067274
t=2.1644044044044044, v=2.5049999999999994, theta=0.968357707745232, v_L=2.8029623164428292, v_R=2.20703768355717
t=2.171867867867868, v=2.5049999999999994, theta=0.9657546977634083, v_L=2.8033945266279274, v_R=2.2066054733720715
t=2.1793313313313316, v=2.5049999999999994, theta=0.9631525856734182, v_L=2.8038125693702147, v_R=2.2061874306297837
t=2.1867947947947948, v=2.5049999999999994, theta=0.9605514793780406, v_L=2.8042162539139093, v_R=2.20578374608609
t=2.1942582582582584, v=2.5049999999999994, theta=0.957951487646999, v_L=2.8046053904519335, v_R=2.2053946095480663
t=2.201721721721722, v=2.5049999999999994, theta=0.95535272011085, v_L=2.8049797897521844, v_R=2.2050202102478145
t=2.209185185185185, v=2.5049999999999994, theta=0.952755287249888, v_L=2.805339263759217, v_R=2.204660736240782
t=2.2166486486486487, v=2.5049999999999994, theta=0.9501593003866099, v_L=2.805683625219091, v_R=2.204316374780908
t=2.2241121121121123, v=2.5049999999999994, theta=0.9475648716765339, v_L=2.8060126878977085, v_R=2.20398731210229
t=2.2315755755755755, v=2.5049999999999994, theta=0.9449721140976707, v_L=2.80632626676972, v_R=2.203673733230279
t=2.239039039039039, v=2.5049999999999994, theta=0.9423811414427266, v_L=2.806624177734394, v_R=2.203375822265605
t=2.2465025025025027, v=2.5049999999999994, theta=0.9397920683067835, v_L=2.8069062381704897, v_R=2.20309376182951
t=2.253965965965966, v=2.5049999999999994, theta=0.9372050100796222, v_L=2.807172266432073, v_R=2.2028277335679265
t=2.2614294294294295, v=2.5049999999999994, theta=0.9346200829339834, v_L=2.807422082350002, v_R=2.202577917649997
t=2.268892892892893, v=2.5049999999999994, theta=0.9320374038150026, v_L=2.8076555071300686, v_R=2.2023444928699303
t=2.2763563563563562, v=2.5049999999999994, theta=0.9294570904303819, v_L=2.807872363298788, v_R=2.2021276367012104
t=2.28381981981982, v=2.5049999999999994, theta=0.9268792612385747, v_L=2.8080724749671453, v_R=2.2019275250328545
t=2.2912832832832835, v=2.5049999999999994, theta=0.9243040354375267, v_L=2.8082556677999033, v_R=2.201744332200095
t=2.298746746746747, v=2.5049999999999994, theta=0.9217315329539612, v_L=2.8084217689830693, v_R=2.2015782310169296
t=2.30621021021021, v=2.5049999999999994, theta=0.9191618744313023, v_L=2.808570607416877, v_R=2.2014293925831225
t=2.313673673673674, v=2.5049999999999994, theta=0.9165951812178784, v_L=2.8087020137153145, v_R=2.2012979862846844
t=2.3211371371371374, v=2.5049999999999994, theta=0.9140315753550519, v_L=2.8088158202476197, v_R=2.2011841797523792
t=2.3286006006006006, v=2.5049999999999994, theta=0.9114711795647701, v_L=2.808911861238583, v_R=2.201088138761416
t=2.336064064064064, v=2.5049999999999994, theta=0.9089141172376421, v_L=2.8089899727393903, v_R=2.2010100272606086
t=2.343527527527528, v=2.5049999999999994, theta=0.9063605124196991, v_L=2.809049992815101, v_R=2.200950007184898
t=2.350990990990991, v=2.5049999999999994, theta=0.9038104898005195, v_L=2.8090917614154995, v_R=2.2009082385844994
t=2.3584544544544546, v=2.5049999999999994, theta=0.9012641746990933, v_L=2.8091151206751896, v_R=2.200884879324809
t=2.365917917917918, v=2.5049999999999994, theta=0.8987216930519062, v_L=2.8091199146819, v_R=2.2008800853180994
t=2.3733813813813813, v=2.5049999999999994, theta=0.8961831713992087, v_L=2.8091059897235935, v_R=2.2008940102764045
t=2.380844844844845, v=2.5049999999999994, theta=0.8936487368707471, v_L=2.8090731943847755, v_R=2.200926805615223
t=2.3883083083083085, v=2.5049999999999994, theta=0.8911185171738158, v_L=2.8090213793004577, v_R=2.200978620699541
t=2.3957717717717717, v=2.5049999999999994, theta=0.888592640578208, v_L=2.8089503975571466, v_R=2.201049602442852
t=2.4032352352352353, v=2.5049999999999994, theta=0.886071235902491, v_L=2.8088601045660853, v_R=2.2011398954339136
t=2.410698698698699, v=2.5049999999999994, theta=0.8835544325008234, v_L=2.8087503580279045, v_R=2.201249641972094
t=2.418162162162162, v=2.5049999999999994, theta=0.8810423602469096, v_L=2.808621018306738, v_R=2.201378981693261
t=2.4256256256256257, v=2.5049999999999994, theta=0.8785351495225777, v_L=2.80847194790443, v_R=2.2015280520955693
t=2.4330890890890893, v=2.5049999999999994, theta=0.876032931199898, v_L=2.8083030122664043, v_R=2.2016969877335946
t=2.440552552552553, v=2.5049999999999994, theta=0.8735358366294103, v_L=2.8081140790761343, v_R=2.2018859209238646
t=2.448016016016016, v=2.5049999999999994, theta=0.8710439976243257, v_L=2.807905018767918, v_R=2.2020949812320807
t=2.4554794794794796, v=2.5049999999999994, theta=0.8685575464450382, v_L=2.8076757045188465, v_R=2.202324295481153
t=2.4629429429429432, v=2.5049999999999994, theta=0.8660766157854916, v_L=2.807426012052072, v_R=2.2025739879479262
t=2.4704064064064064, v=2.5049999999999994, theta=0.8636013387576368, v_L=2.8071558198946964, v_R=2.2028441801053016
t=2.47786986986987, v=2.5049999999999994, theta=0.8611318488759858, v_L=2.8068650093938396, v_R=2.2031349906061592
t=2.4853333333333336, v=2.5049999999999994, theta=0.8586682800429031, v_L=2.806553464653332, v_R=2.203446535346667
t=2.4927967967967968, v=2.5049999999999994, theta=0.8562107665331326, v_L=2.806221072652508, v_R=2.203778927347491
t=2.5002602602602604, v=2.5049999999999994, theta=0.8537594429784017, v_L=2.8058677232623204, v_R=2.2041322767376776
t=2.507723723723724, v=2.5049999999999994, theta=0.8513144443520303, v_L=2.805493309269845, v_R=2.2045066907301543
t=2.515187187187187, v=2.5049999999999994, theta=0.8488759059534371, v_L=2.8050977264150423, v_R=2.2049022735849575
t=2.5226506506506507, v=2.5049999999999994, theta=0.8464439633928, v_L=2.804680873395728, v_R=2.205319126604271
t=2.5301141141141144, v=2.5049999999999994, theta=0.8440187525747418, v_L=2.8042426520103514, v_R=2.205757347989648
t=2.5375775775775775, v=2.5049999999999994, theta=0.8416004096837705, v_L=2.803782966965702, v_R=2.206217033034297
t=2.545041041041041, v=2.5049999999999994, theta=0.8391890711678711, v_L=2.803301726125325, v_R=2.206698273874674
t=2.5525045045045047, v=2.5049999999999994, theta=0.8367848737220173, v_L=2.8027988405416555, v_R=2.207201159458343
t=2.559967967967968, v=2.5049999999999994, theta=0.8343879542749906, v_L=2.8022742240695564, v_R=2.2077257759304425
t=2.5674314314314315, v=2.5049999999999994, theta=0.8319984499699022, v_L=2.801727794162129, v_R=2.20827220583787
t=2.574894894894895, v=2.5049999999999994, theta=0.8296164981518607, v_L=2.8011594710095173, v_R=2.208840528990481
t=2.5823583583583587, v=2.5049999999999994, theta=0.8272422363501312, v_L=2.8005691782376014, v_R=2.209430821762397
t=2.589821821821822, v=2.5049999999999994, theta=0.8248758022623193, v_L=2.799956842676369, v_R=2.210043157323629
t=2.5972852852852855, v=2.5049999999999994, theta=0.8225173337401882, v_L=2.7993223941751717, v_R=2.210677605824827
t=2.604748748748749, v=2.5049999999999994, theta=0.8201669687714697, v_L=2.798665766116284, v_R=2.2113342338837145
t=2.6122122122122122, v=2.5049999999999994, theta=0.8178248454664672, v_L=2.797986894836516, v_R=2.2120131051634826
t=2.619675675675676, v=2.5049999999999994, theta=0.8154911020401194, v_L=2.79728572020721, v_R=2.2127142797927886
t=2.6271391391391394, v=2.5049999999999994, theta=0.81316587679757, v_L=2.7965621852122933, v_R=2.2134378147877056
t=2.6346026026026026, v=2.5049999999999994, theta=0.8108493081187841, v_L=2.7958162360818557, v_R=2.214183763918143
t=2.642066066066066, v=2.5049999999999994, theta=0.80854153444053, v_L=2.795047822634045, v_R=2.2149521773659533
t=2.64952952952953, v=2.5049999999999994, theta=0.8062426942440324, v_L=2.794256897579896, v_R=2.215743102420102
t=2.656992992992993, v=2.5049999999999994, theta=0.803952926036677, v_L=2.7934434172786475, v_R=2.2165565827213523
t=2.6644564564564566, v=2.5049999999999994, theta=0.8016723683371905, v_L=2.7926073413148873, v_R=2.2173926586851116
t=2.67191991991992, v=2.5049999999999994, theta=0.7994011596616901, v_L=2.7917486323997247, v_R=2.218251367600274
t=2.6793833833833833, v=2.5049999999999994, theta=0.7971394385050014, v_L=2.7908672569746633, v_R=2.219132743025335
t=2.686846846846847, v=2.5049999999999994, theta=0.7948873433287638, v_L=2.789963184368406, v_R=2.2200368156315933
t=2.6943103103103105, v=2.5049999999999994, theta=0.7926450125441802, v_L=2.789036387478566, v_R=2.2209636125214334
t=2.7017737737737737, v=2.5049999999999994, theta=0.7904125844959811, v_L=2.788086842627319, v_R=2.221913157372681
t=2.7092372372372373, v=2.5049999999999994, theta=0.7881901974506764, v_L=2.7871145290275288, v_R=2.2228854709724706
t=2.716700700700701, v=2.5049999999999994, theta=0.7859779895765515, v_L=2.786119429831255, v_R=2.2238805701687436
t=2.7241641641641645, v=2.5049999999999994, theta=0.7837760989338937, v_L=2.785101530843169, v_R=2.2248984691568294
t=2.7316276276276277, v=2.5049999999999994, theta=0.781584663456132, v_L=2.784060821674591, v_R=2.225939178325409
t=2.7390910910910913, v=2.5049999999999994, theta=0.7794038209367297, v_L=2.7829972950199693, v_R=2.2270027049800296
t=2.746554554554555, v=2.5049999999999994, theta=0.7772337090151369, v_L=2.7819109467793575, v_R=2.2280890532206414
t=2.754018018018018, v=2.5049999999999994, theta=0.7750744651603224, v_L=2.780801776368463, v_R=2.2291982236315357
t=2.7614814814814816, v=2.5049999999999994, theta=0.7729262266585346, v_L=2.7796697861846553, v_R=2.2303302138153445
t=2.7689449449449453, v=2.5049999999999994, theta=0.7707891305966804, v_L=2.7785149821649675, v_R=2.231485017835031
t=2.7764084084084084, v=2.5049999999999994, theta=0.7686633138505046, v_L=2.77733737317644, v_R=2.2326626268235588
t=2.783871871871872, v=2.5049999999999994, theta=0.7665489130691281, v_L=2.7761369714804194, v_R=2.2338630285195786
t=2.7913353353353356, v=2.5049999999999994, theta=0.7644460646599444, v_L=2.7749137926869576, v_R=2.235086207313042
t=2.798798798798799, v=2.5049999999999994, theta=0.7623549047781782, v_L=2.7736678551585623, v_R=2.2363321448414366
t=2.8062622622622624, v=2.5049999999999994, theta=0.7602755693096463, v_L=2.7723991808769637, v_R=2.237600819123035
t=2.813725725725726, v=2.5049999999999994, theta=0.75820819385924, v_L=2.7711077947098217, v_R=2.2388922052901776
t=2.821189189189189, v=2.5049999999999994, theta=0.7561529137373592, v_L=2.769793724670183, v_R=2.2402062753298164
t=2.8286526526526528, v=2.5049999999999994, theta=0.7541098639455728, v_L=2.768457002011854, v_R=2.2415429979881454
t=2.8361161161161164, v=2.5049999999999994, theta=0.7520791791647424, v_L=2.767097660910487, v_R=2.242902339089512
t=2.8435795795795795, v=2.5049999999999994, theta=0.7500609937413968, v_L=2.7657157386831206, v_R=2.2442842613168783
t=2.851043043043043, v=2.5049999999999994, theta=0.7480554416747597, v_L=2.7643112756992267, v_R=2.2456887243007726
t=2.8585065065065067, v=2.5049999999999994, theta=0.7460626566051872, v_L=2.7628843151948344, v_R=2.247115684805165
t=2.86596996996997, v=2.5049999999999994, theta=0.7440827717999464, v_L=2.7614349036072894, v_R=2.248565096392709
t=2.8734334334334335, v=2.5049999999999994, theta=0.7421159201418583, v_L=2.7599630902019836, v_R=2.250036909798015
t=2.880896896896897, v=2.5049999999999994, theta=0.740162234118, v_L=2.758468927055192, v_R=2.2515310729448066
t=2.8883603603603607, v=2.5049999999999994, theta=0.738221845805068, v_L=2.7569524694795846, v_R=2.2530475305204147
t=2.895823823823824, v=2.5049999999999994, theta=0.7362948868608673, v_L=2.7554137752242402, v_R=2.254586224775758
t=2.9032872872872875, v=2.5049999999999994, theta=0.7343814885095169, v_L=2.753852905278317, v_R=2.256147094721682
t=2.910750750750751, v=2.5049999999999994, theta=0.7324817815318547, v_L=2.752269923190834, v_R=2.257730076809165
t=2.9182142142142142, v=2.5049999999999994, theta=0.7305958962532597, v_L=2.7506648953945856, v_R=2.2593351046054133
t=2.925677677677678, v=2.5049999999999994, theta=0.7287239625327597, v_L=2.749037891030762, v_R=2.2609621089692373
t=2.9331411411411414, v=2.5049999999999994, theta=0.7268661097522143, v_L=2.747388981929205, v_R=2.262611018070794
t=2.9406046046046046, v=2.5049999999999994, theta=0.7250224668038275, v_L=2.7457182428147786, v_R=2.2642817571852203
t=2.948068068068068, v=2.5049999999999994, theta=0.7231931620822739, v_L=2.7440257506980252, v_R=2.2659742493019737
t=2.955531531531532, v=2.5049999999999994, theta=0.7213783234714383, v_L=2.7423115855634284, v_R=2.267688414436571
t=2.962994994994995, v=2.5049999999999994, theta=0.7195780783352445, v_L=2.74057582982764, v_R=2.2694241701723588
t=2.9704584584584586, v=2.5049999999999994, theta=0.7177925535083367, v_L=2.738818568345845, v_R=2.271181431654154
t=2.977921921921922, v=2.5049999999999994, theta=0.7160218752834434, v_L=2.737039888832951, v_R=2.2729601111670483
t=2.9853853853853853, v=2.5049999999999994, theta=0.7142661694043468, v_L=2.7352398811211613, v_R=2.274760118878837
t=2.992848848848849, v=2.5049999999999994, theta=0.7125255610541162, v_L=2.733418637764421, v_R=2.2765813622355777
t=3.0003123123123125, v=2.5049999999999994, theta=0.7108001748465222, v_L=2.7315762536117107, v_R=2.2784237463882877
t=3.0077757757757757, v=2.5049999999999994, theta=0.7090901348169871, v_L=2.729712825854765, v_R=2.2802871741452333
t=3.0152392392392393, v=2.5049999999999994, theta=0.7073955644115455, v_L=2.7278284542751847, v_R=2.282171545724814
t=3.022702702702703, v=2.5049999999999994, theta=0.7057165864796955, v_L=2.7259232407230662, v_R=2.2840767592769327
t=3.0301661661661665, v=2.5049999999999994, theta=0.7040533232649832, v_L=2.723997289399559, v_R=2.28600271060044
t=3.0376296296296297, v=2.5049999999999994, theta=0.7024058963948456, v_L=2.722050706942416, v_R=2.2879492930575824
t=3.0450930930930933, v=2.5049999999999994, theta=0.7007744268747512, v_L=2.720083601847498, v_R=2.2899163981525006
t=3.052556556556557, v=2.5049999999999994, theta=0.6991590350764185, v_L=2.7180960852335962, v_R=2.2919039147664027
t=3.06002002002002, v=2.5049999999999994, theta=0.6975598407322564, v_L=2.716088270011796, v_R=2.293911729988203
t=3.0674834834834837, v=2.5049999999999994, theta=0.6959769629253136, v_L=2.714060271461739, v_R=2.29593972853826
t=3.0749469469469473, v=2.5049999999999994, theta=0.6944105200822492, v_L=2.7120122068212273, v_R=2.2979877931787716
t=3.0824104104104104, v=2.5049999999999994, theta=0.6928606299652533, v_L=2.7099441954106585, v_R=2.300055804589341
t=3.089873873873874, v=2.5049999999999994, theta=0.6913274096641001, v_L=2.7078563586017608, v_R=2.3021436413982386
t=3.0973373373373376, v=2.5049999999999994, theta=0.6898109755880657, v_L=2.705748819822876, v_R=2.3042511801771233
t=3.104800800800801, v=2.5049999999999994, theta=0.6883114434597174, v_L=2.7036217042976283, v_R=2.3063782957023706
t=3.1122642642642644, v=2.5049999999999994, theta=0.6868289283056273, v_L=2.701475139438014, v_R=2.308524860561985
t=3.119727727727728, v=2.5049999999999994, theta=0.6853635444515486, v_L=2.6993092542415575, v_R=2.3106907457584414
t=3.127191191191191, v=2.5049999999999994, theta=0.6839154055124135, v_L=2.697124179962387, v_R=2.312875820037612
t=3.1346546546546548, v=2.5049999999999994, theta=0.6824846243880808, v_L=2.6949200493379832, v_R=2.315079950662015
t=3.1421181181181184, v=2.5049999999999994, theta=0.6810713132542351, v_L=2.6926969972172383, v_R=2.317303002782761
t=3.1495815815815815, v=2.5049999999999994, theta=0.6796755835562601, v_L=2.6904551601545297, v_R=2.3195448398454697
t=3.157045045045045, v=2.5049999999999994, theta=0.6782975460043821, v_L=2.6881946762279525, v_R=2.3218053237720464
t=3.1645085085085087, v=2.5049999999999994, theta=0.6769373105628211, v_L=2.6859156858212527, v_R=2.3240843141787457
t=3.1719719719719723, v=2.5049999999999994, theta=0.6755949864478618, v_L=2.6836183304292307, v_R=2.3263816695707678
t=3.1794354354354355, v=2.5049999999999994, theta=0.6742706821186768, v_L=2.6813027536057423, v_R=2.328697246394256
t=3.186898898898899, v=2.5049999999999994, theta=0.6729645052710682, v_L=2.678969100565846, v_R=2.331030899434153
t=3.1943623623623627, v=2.5049999999999994, theta=0.6716765628330247, v_L=2.6766175179317697, v_R=2.333382482068229
t=3.201825825825826, v=2.5049999999999994, theta=0.6704069609560807, v_L=2.6742481542795025, v_R=2.3357518457204964
t=3.2092892892892895, v=2.5049999999999994, theta=0.6691558050110193, v_L=2.671861159550386, v_R=2.3381388404496133
t=3.216752752752753, v=2.5049999999999994, theta=0.6679231995813598, v_L=2.669456685333892, v_R=2.340543314666107
t=3.2242162162162162, v=2.5049999999999994, theta=0.6667092484561877, v_L=2.667034884945148, v_R=2.342965115054851
t=3.23167967967968, v=2.5049999999999994, theta=0.6655140546264019, v_L=2.6645959129589, v_R=2.3454040870410995
t=3.2391431431431434, v=2.5049999999999994, theta=0.6643377202767208, v_L=2.6621399257642073, v_R=2.3478600742357916
t=3.2466066066066066, v=2.5049999999999994, theta=0.6631803467809354, v_L=2.6596670811221026, v_R=2.3503329188778963
t=3.25407007007007, v=2.5049999999999994, theta=0.66204203469607, v_L=2.657177538301127, v_R=2.3528224616988713
t=3.261533533533534, v=2.5049999999999994, theta=0.6609228837553617, v_L=2.65467145822583, v_R=2.3553285417741683
t=3.268996996996997, v=2.5049999999999994, theta=0.6598229928649361, v_L=2.6521490029744603, v_R=2.3578509970255377
t=3.2764604604604606, v=2.5049999999999994, theta=0.6587424600955701, v_L=2.6496103364257575, v_R=2.360389663574241
t=3.283923923923924, v=2.5049999999999994, theta=0.6576813826777734, v_L=2.6470556238079417, v_R=2.362944376192057
t=3.2913873873873873, v=2.5049999999999994, theta=0.6566398569974533, v_L=2.644485031612067, v_R=2.3655149683879317
t=3.298850850850851, v=2.5049999999999994, theta=0.6556179785875244, v_L=2.6418987281267885, v_R=2.368101271873211
t=3.3063143143143146, v=2.5049999999999994, theta=0.6546158421245852, v_L=2.6392968827533823, v_R=2.3707031172466166
t=3.313777777777778, v=2.5049999999999994, theta=0.6536335414221025, v_L=2.63667966646565, v_R=2.3733203335343487
t=3.3212412412412413, v=2.5049999999999994, theta=0.6526711694247084, v_L=2.6340472516545264, v_R=2.375952748345473
t=3.328704704704705, v=2.5049999999999994, theta=0.6517288182024895, v_L=2.6313998121228805, v_R=2.3786001878771184
t=3.3361681681681685, v=2.5049999999999994, theta=0.6508065789453243, v_L=2.6287375230730223, v_R=2.381262476926976
t=3.3436316316316317, v=2.5049999999999994, theta=0.649904541956994, v_L=2.626060561131563, v_R=2.3839394388684356
t=3.3510950950950953, v=2.5049999999999994, theta=0.6490227966492663, v_L=2.6233691043476486, v_R=2.3866308956523503
t=3.358558558558559, v=2.5049999999999994, theta=0.6481614315356853, v_L=2.620663332227931, v_R=2.3893366677720675
t=3.366022022022022, v=2.5049999999999994, theta=0.6473205342268664, v_L=2.6179434255296496, v_R=2.3920565744703493
t=3.3734854854854857, v=2.5049999999999994, theta=0.6465001914221696, v_L=2.615209566742985, v_R=2.394790433257014
t=3.3809489489489493, v=2.5049999999999994, theta=0.6457004889064313, v_L=2.612461939408222, v_R=2.3975380605917773
t=3.3884124124124124, v=2.5049999999999994, theta=0.6449215115410797, v_L=2.60970072886617, v_R=2.400299271133829
t=3.395875875875876, v=2.5049999999999994, theta=0.6441633432603264, v_L=2.6069261215739146, v_R=2.4030738784260843
t=3.4033393393393396, v=2.5049999999999994, theta=0.643426067063151, v_L=2.604138305666961, v_R=2.4058616943330384
t=3.410802802802803, v=2.5049999999999994, theta=0.6427097650071855, v_L=2.601337470701767, v_R=2.4086625292982315
t=3.4182662662662664, v=2.5049999999999994, theta=0.6420145182037983, v_L=2.5985238074928465, v_R=2.411476192507152
t=3.42572972972973, v=2.5049999999999994, theta=0.6413404068085554, v_L=2.595697508732254, v_R=2.4143024912677453
t=3.433193193193193, v=2.5049999999999994, theta=0.6406875100177345, v_L=2.5928587681748403, v_R=2.4171412318251595
t=3.4406566566566568, v=2.5049999999999994, theta=0.640055906059585, v_L=2.590007781343784, v_R=2.419992218656215
t=3.4481201201201204, v=2.5049999999999994, theta=0.6394456721871946, v_L=2.5871447453139584, v_R=2.4228552546860405
t=3.455583583583584, v=2.5049999999999994, theta=0.6388568846733126, v_L=2.5842698584488857, v_R=2.4257301415511128
t=3.463047047047047, v=2.5049999999999994, theta=0.6382896188011677, v_L=2.5813833209390484, v_R=2.4286166790609496
t=3.4705105105105107, v=2.5049999999999994, theta=0.6377439488582936, v_L=2.578485334398341, v_R=2.431514665601658
t=3.4779739739739743, v=2.5049999999999994, theta=0.6372199481292967, v_L=2.57557610200673, v_R=2.434423897993269
t=3.4854374374374375, v=2.5049999999999994, theta=0.6367176888865254, v_L=2.57265582879391, v_R=2.4373441712060884
